ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
14950	S15-212	-359.9501	167.7985	-359.9510	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
14978	S15-203	-359.8050	167.7976	-359.8039	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15007	S15-206	-359.7370	167.7974	-359.7355	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15036	S15-198	-359.4705	167.7974	-359.4690	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15066	S15-227	-359.8700	167.7972	-359.8681	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15096	S15-231	-359.8775	167.7970	-359.8751	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15124	S15-233	-359.2519	167.7977	-359.2510	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15153	S15-219	-359.8432	167.7971	-359.8411	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15181	S15-196	-359.4770	167.7977	-359.4761	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15223	S15-254	-359.6709	167.7984	-359.6715	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15238	S15-251	-359.6486	167.7984	-359.6492	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15266	S15-255	-359.5415	167.7982	-359.5417	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15295	S15-134	-359.6477	167.7976	-359.6466	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15323	S15-140	-360.3105	167.7981	-360.3105	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15351	S15-142	-360.4550	167.7984	-360.4556	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15379	S15-144	-359.2667	167.7983	-359.2671	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15494	S15-228	-359.7881	167.7983	-359.7885	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15522	S15-226	-359.6755	167.7994	-359.6783	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15550	S15-222	-359.7299	167.7995	-359.7329	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15578	S15-225	-359.6491	167.7986	-359.6502	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15636	S15-098	-360.0436	167.7998	-360.0473	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15664	S15-097	-359.9418	167.7986	-359.9429	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
